question,expected_ans,predicted_ans,reason,pass_fail,brand,ans_exp_1
What policies are eligible for warm transfer to the retention team?,"Policies written in ARS
Any policy without an active IA/EA"," Policies written in ARS and any policy without an active IA/EA are eligible for warm transfer to the retention team.
",,Pass,FWS,All calls to the retention team should be a warm transfer to help maximize the customer experience [1].
What are the the ineligible vehicle use procedures?,"Ineligible Vehicle Use Procedures

If a vehicle use is ineligible, follow the procedures below: 

New Vehicle Exposure:

DO NOT add the vehicle and DO NOT provide ID cards.
Enter a ""flagged"" comment and document ""DO NOT ADD - ineligible vehicle - year, make, model and last 6 digits of VIN and reason the vehicle use is ineligible"". 
Vehicle Exists on the Policy:

Advise the insured that vehicle is ineligible for the Personal Auto policy and policy will be non-renewed if vehicle remains on the policy.
Enter a ""flagged"" comment and document the policy with ineligible vehicle - year, make, model and last 6 digits of VIN and the condition that makes the vehicle ineligible.
Send a Referral to Underwriting.
If applicable, offer toll free referral number for insured to obtain coverage on vehicle with ineligible usage.
What is the Antique and Modified Vehicle Program?"," 1. Enter Business Use as 100%
2. Verify the estimated annual mileage with the customer.
3. Document the type of business use. ",Found right article but pick wrong section to answer,Fail,Farmers HI,"If a vehicle use is ineligible, follow the procedures below:
New Vehicle Exposure: DO NOT add the vehicle and DO NOT provide ID cards [1].
Enter a ""flagged"" comment and document ""DO NOT ADD - [1]."
What is a Dovetail policy?,"Dovetail will be listed as the agent of record with producer code 84-99-83.
We will be receiving calls from IA subagents working on behalf of the insured."," A Dovetail policy is a personal auto policy that is underwritten by Farmers Insurance Exchange. 
",Generic answer. Not found in article,Fail,Commercial,Dovetail is a policy that is handled by the CSC team [1]. The IA subagents do not have access to any Farmers systems [1].
In Regards to Agent360 What is the definition of Automatic Refund?,Refund generated by Billing Center that is automatically returned to the customers banking account or credit card by JPMC.," Automatic refunds are generated when a payment is received and there is a credit balance on the policy, or when a policy is cancelled and there is a refund due. The refund will be issued to the original payment method within 10 business days.",Complete information is not found in any article,Fail,FWS,"An automatic refund is a refund generated automatically when the amount paid is greater than the amount owed [1]. A refund, also referred to as a disbursement, will automatically be sent out within 10 business days of one being available [5]. This is either due to an overpayment of premium or a credit related to a policy transaction [5]."
What are the billing fees rules for paper document in Florida?,"Fully Earned, Non-commissionable. 
Applies to policies who do not select the Go-Paperless option.
Fee will not be applied to customers who were part of the 21st Century Transition (21C or 21CX)."," The paper document fee in Florida is $2.00 per document for personal auto, $1.00 per document for personal property, and $3.00 per document for commercial auto and commercial property.
",Generic answer. Not found in article,Fail,Bristol West,"In Florida, there is a $10 fee when paper documents are sent instead of receiving electronic documents through the Go Paperless program [2]."
How to view bill history on Bristolwest.com?,"1.	From the Bristolwest.com Customer Home Screen, click on the Billing Information link
2.	On the Billing Information page, users can view the following:
	Payment History, including Failed Payments
	Remaining Payments
	Waives"," From the Bristolwest.com Customer Home Screen, click on the Billing Information link. 

On the Billing Information page, users can view the following:

Payment History, including Failed Payments

Remaining Payments

Waives",,Pass,Bristol West,"To view billing history on Bristolwest.com, click on the Billing Information link on the Customer Home Screen [1]. You can view the following on the Billing Information page: Payment History, including Failed Payments and Remaining Payments Waives [1]."
What are the state requirements for HI State ID cards,"STATE REQUIREMENTS
Generally, State facilities do not accept electronic ID Cards when requesting proof of insurance. ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.

As a courtesy, the company may fax or mail ID cards per the customer's request. There are specific letters designed to accommodate the State's requirements: 
Refer to: Customer Service Manual Letters
NOTE: PRIOR TO SENDING CUSTOMERS EMAILS CONTAINING CONFIDENTIAL INFORMATION, REVIEW THE EMAIL PROCESS WITHIN ARTICLE: Does an email sent through SRM need to be encrypted?",ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.,,Pass,Farmers HI,"Generally, State facilities do not accept electronic ID Cards when they are requesting proof of insurance [1, 2, 3, 5]. ID Cards must print on state approved fraud resistant paper [1, 2, 3, 4, 5]. Faxed or Emailed ID Cards are not valid proof of insurance [1, 2, 3, 5]. As a courtesy, the company may fax or mail ID cards per the customer's request [1, 2, 3, 4, 5]."
How do I rush a refund on a Checking Account?,"Checking Account Refunds
	Collect a copy of the back records showing payment has cleared including a running balance (have named insured reference SR to keep records attached to request)
	Complete a Billing Action Needed to request refund be rushed.
"," To rush a refund on a checking account, follow these steps:

Collect a copy of the back records showing payment has cleared including a running balance (have named insured reference SR to keep records attached to request)
Complete a Billing Action Needed to request refund be rushed.
",,Pass,Farmers Specialty Auto,"To rush a refund on a checking account, you can collect a copy of the back records showing payment has cleared including a running balance [1]. You can also complete a Billing Action Needed to request the refund be rushed [1]. You can also contact Service Operations for assistance [2]. You can only process a refund if it has been at least 5 business days since the payment and there have been no returns [2]. If the request is received during these 5 days, that time will be added to wait for refund [3]. This time can be accelerated if you received a copy of the bank statement [3]. You can't issue a refund to a checking account if the credit on the policy is not equal to a full payment that was taken [2]. You also can't refund to a card or checking account not used on the policy [5]."
Why can't the agent process a payment through their ACA?,"Symptom
	Receive the pop up message ""Agent Credit Advice processing authority has been revoked. Contact your Service Center for assistance. (E84229)
	Are you sure? Click OK to continue. (W00008)"" when attempting to enter the agent of record's ACA.
Resolution
	First, attempt to use the agent's district manager's agent code.
	The district manager's agent code will be the same besides the last two digits, which will be 01.
o	Example: Agent = 45-32-31                 District Manager = 45-32-01
	For Inactive agents, Express should replace the agent code with one of the generic ACA codes below.
	If this has not happened, and the Inactive agents ACA still shows on the billing side of express, please refer for defect 724086. 
	If this does not correct the issue, use one of the ACA codes below and notate the billing account on what code was used for payment:
o	Western Zone  29-99-375
o	Eastern Zone  04-99-375
	Note: Please make sure to document which ACA code you use in your billing comment so the payment can be located if necessary.
Cause
	Agent has not set up a ACA/Farmers Bank account will have to be submitted to generic code listed above
	Agent is dual licensed in more than 1 state 
	Verify that using the correct state agent code
o	If correct, please confirm that new state ACA/Farmers Bank Account is set up 
"," Agent has not set up an ACA/Farmers Bank account will have to be submitted to generic code listed above
Agent is dual licensed in more than 1 state Verify that using the correct state agent code
If correct, please confirm that new state ACA/Farmers Bank Account is set up",,Pass,Farmers Specialty Auto,"The agent may not be able to process a payment through their ACA if their agent code is invalid, not on file, or if they have not set up an ACA/Farmers Bank Account [1]. They may also not be able to process the payment if they have dual licensed [1]. The agent may also receive the error message ""Agent Identification number not on file"" when trying to submit a payment [2]."
What is the Auto cancellation guidelines for state of TX ?,Specific reason(s) for cancellation required. System generated reason for cancellation is not adequate to satisfy state requirements. Entry of additional cancellation reason(s) information is required. Notice should fully explain cancellation decision.," Specific reason(s) for cancellation required. System generated
reason for cancellation is not adequate to satisfy state requirements. Entry of additional cancellation
reason(s) information is required. Notice should fully explain cancellation decision. ",,Pass,Commercial,"For Texas, the effective date of the cancellation must be 30 days from the date of receipt in a state's transportation division [4]."
What systems do I need to document the comment for adding EFT?,"SRM
Billing Hub"," The Comment Requirements for adding EFT are: 
-SRM 
-BillingHub
-Processing system","Answer is right but processing system is in the header, and not listed as system",Partial Pass,Farmers,"You need to document the comment for adding EFT in the following systems: BillingHub, SRM, and the processing system [1]. You need to include the following information in the comment: what was done, why it was done, the reason, and the action taken [1]. If the system captures any part of the required comment, you don't need to manually add that information to the comment [2]."
How do I get a copy of the Electronics funds transfer authorazation form after it is set up?,"If the agent has set up autopay and needs to obtain a copy of the authorization form, it can be located under the billing documents tab in Direct bill when there is a pending authorization for a paper EFT authorization form
Once the trigger to receive the form is available this document will no longer be available"," After the EFT authorization form is set up, you can obtain a copy by going to PaymentsHub and log into your account.  From there, you can access the EFT authorization form. ",It could not get to the right information as it might not have understood the abbriviation,Partial Pass,Commercial,"After the autopay option is selected, a pre-filled copy of the EFT form can be found in Direct Bill when there is still a pending trigger to receive a paper copy of the EFT authorization form [1]. If the authorization type chosen during autopay set up was electronic signature (DocuSign), then the paper form will not be available in Direct Bill [5]."
How to check Status of AOR change?,"Click on Ask Service Ops
Click on View Service Requests
Locate your Service Request (SR) and click on the SR Number
Inquiry Type should be AOR Change OPRA
Click on Comments to review status:
No notes  The transfer request has not been started yet.
Your Service Request has been received and is currently being processed, if more information is needed, we will notify you, otherwise once completed you will receive a completion email.  the request is being processed and will be completed in approximately 3-5 business days."," The status of an AOR change can be checked by contacting the insurance company directly. The company will be able to provide you with the status of the change and any additional information you may need.
",Generic answer,Fail,Bristol West,"To check the status of an Agent of Record (AOR) change, you can contact Hagerty at 1-800-747-5348 [1]. You can also contact JC Taylor at 1-800-221-5888 [3]."
How to check policy status?,"Policy Summary tab shows the policy status as: 
Active
Pre-Cancel
Cancelled:
Cancelled policies will show the cancel date which may be a past, current, or future date. "," To check the status of a policy, you can log in to your account on the Farmers Insurance website or app. You can also call customer service at 1-800-435-7764. ","Answer look generic, and not present in the articles",Fail,Bristol West,There are several places you can check to see the status of the policy [5]. From the search screen you can view policy status by looking at the status column next to the insured's name [5]. From the policy summary screen the policy status is listed under the policy number [5].
What should qualified cancellation email contain ?,"A qualified email must include the following (clearly provided somewhere in the email):
Insureds name
Policy number
Cancellation date
Signature (Typed name)"," A qualified cancellation email should contain the following information: 

- Insured's name 

- Policy number 

- Cancellation date 

- Signature (Typed name) 

The email must come from the insured's email address on file. 

",,Pass,Farmers,"A qualified email must include the following (clearly provided somewhere in the email): Insured’s name, Policy number, Cancellation date, Signature (Typed name) [1, 4]. Note: The email must come from the insured’s email address [1, 4]. Requests to cancel from an email that is not the insured’s email address on file is not acceptable [1]."
Can system identify security code using VIN ?,Any variation of Yes," Yes, for model year vehicles greater than or equal to 2006, the system will identify Security Codes from the Vehicle Identification Number (VIN) and automatically indicate the anti-theft discount. ",,Pass,Farmers HI,"Yes, the system can identify security codes from the Vehicle Identification Number (VIN) [1]. The system will automatically indicate the anti-theft discount [1]."
How do I  process a rush request for a letter of experience loss history letter?,"Rush Requests: 
1.	Retrieve claims information.
	See How to Look Up Foremost Claims
	Only retrieve claims information back 5 years for property and 3 years for casualty as that is what is utilized in loss history letters
2.	Create loss history letter.
a.	From the 360 View within the SR, click Links.
b.	Under Links click ABL Application.
c.	Choose the appropriate group: 
	For agent policies: Select FL Letter.   
	For direct customers: Select Direct Support.
d.	Click Request View and a dropdown will appear.
e.	In the dropdown choose the appropriate form:
	For agent policies: Choose FL 140A for Loss History with Claims or FL 141A for Loss History without Claims.
	For direct customers (USAA and non-AARP): Choose FISC 3 for Loss History with Claims or FISC 2 for Loss History without Claims.
	For AARP direct customers: Choose one of the forms from AARP 3 through 8.
f.	Fill out all the boxes manually. 
	NOTE: Even for redbox letters, the entire letter must be filled out as the data scraping function only happens for ABLs being sent out by mail using the Submit button
i.	Enter agent name or insured name:  The recipient. 
ii.	Enter mailing address. (Optional if the letter is being faxed or emailed.)
iii.	Enter the insured's name (or declaration name).  Check the declaration page then add the location address as:  'ADDR(-) street address, city only.  ***Note: Do not key in the state & zip.
o	Example: John Smith ADDR-123 got it, Farmers World
o	Note: For Motorcycle & Boat policies, only put the policy number, do not key in a location or the bike/boat information.
iv.	Enter Policy Number.
v.	Enter Company Name. How to Find the Company Name for a Policy
vi.	Enter a Product type.  ***This field is not available on FL 140 or FL140A for Loss History with Claims.
o	Specialty Dwelling
o	Mobile Home
o	Off Road Vehicle
o	Motorcycle
o	Motorhome
o	Travel Trailer
o	Marine
o	Personal Watercraft
vii.	Enter the original inception date of the policy 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
viii.	Enter the Policy Expiration or Cancellation date 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
ix.	Enter the time frame in years (one, two, three, four or five).
o	For Property, go back a maximum of five years
o	For Casualty, go back a maximum of three years
o	Round up to whole years.  If the policy has been active six months, use one year.  If one year two months, use two years, etc.
o	Type out the words.  ***Do not use numerals
	Example: one, two, three, four or five. 
x.	Enter claim date (xx/xx/xxxx)
xi.	Enter Loss Type/Amount paid (Enter $0 if zero paid)  Ex: Wind / $123
o	Note:  If a claim has been withdrawn or denied, it would not be a valid claim.  Do not list it on the loss history / letter of experience.
xii.	Enter claims status (Closed, Open etc.)
b.	Click Preview to generate the copy of the letter that can be sent.  It can be sent by fax or saved as a PDF and sent by email in SRM.
i.	Send a copy of the letter to imaging at fax number 616-956-4412 or email to: usw.fic.imagingabp@foremost.com  - (Include the SR# in the subject line, and in the body of the email include the policy number and customer's name).
c.	Note the SR with which letter type was sent and where it was sent."," Rush requests can be processed by transferring the agent to Specialty Service Operations. 
",Answer is correct based on the article it has referred but first article has right information on Rush Request. It could have combined the answers.,Partial Pass,Specialty,"To process a rush request for a letter of experience loss history letter, you can email your request to imaging@foremost.com [1, 4]. In the subject line, include Attn: Schedules and the policy number [4]. You can also contact Service Operations [1]."
Can NJ cancelled auto policies be reinstated ?,Any variation of No for state of NJ," No, NJ auto policies cancelled for non-payment cannot be reinstated. 

",,Pass,Farmers,"No, New Jersey auto policies cancelled for non-payment cannot be reinstated [1, 2]. Agents may re-submit eligible risks as a new policy transaction on request [1]. Any outstanding premium and fees for the terminated policy must be paid before a new policy can be issued [1, 2]."
When to decline the request to update mileage ?,"If the required proof has not been received to make a mileage change after the renewal effective date, decline the request and refer it back to the agent/broker for additional information."," If the required proof has not been received to make a mileage change
after the renewal effective date, decline the request and refer it back to the agent/broker for additional
information. ",,Pass,Bristol West,"If the required proof has not been received to make a mileage change after the renewal effective date, decline the request and refer it back to the agent/broker for additional information [1]. The following documents will be required for CA Mileage after renewal and are to be sent in by Agent/Broker in order to adjust Mileage/Rate for every vehicle included on the policy [4]."
What do I do when receiving no conect error message when ordering an MVR on a NB policy?,"Verify all information is correct. 
If information is correct attempt to re-order reports at later time."," Verify all information is correct. If information is correct attempt to re-order reports at later time.
This is a vendor issue and the cause is unknown.",,Pass,Bristol West,"When you receive a ""No Connect"" error message when ordering an MVR on a NB policy, you should verify that all information is correct [1]. If the information is correct, you can try to re-order the reports at a later time [1]. You may also get notifications such as ""MVR Response Header Not Found"" or ""No-Hit"" [3]. ""MVR Response Header Not Found"" indicates that a MVR was never ordered [3]. ""No-Hit"" indicates that the system attempted to run the MVR but could not retrieve it [3]. If you receive either of these notifications, you should research the policy to find out what may have caused the MVR not to order [3]. You should also contact Service Operations for assistance [4]."
why can't I have two married men on a quote?,"BW Producers is not allowing the same gender to be listed as married on a quote
List the married couple as Male/Female on quote
Once policy is active, the gender can be corrected"," The system does not allow for two married men to be listed on a single quote. 
You can list the couple as Male/Female on the quote and then correct the gender once the policy is active. ",,Pass,Farmers Specialty Auto,"You can list a married couple as male/female on a quote [2]. Once the policy is active, the gender can be corrected [2]."
What is the HEA membership enrolment promotion?,"If the customer is a teacher but not a member of HEA (or UHPA, Maui Teachers FCU or Kauai Teachers FCU):
SAY: Thank you for being a teacher! We have a special membership promotion with HEA  Hawaii Education Association. I can give you a quote through this promotion which provides a teachers discount. If you choose to purchase the policy, Farmers Hawaii will enroll you in as a new member of HEA and cover the first-year membership fee. After the first year, HEA will contact you for the annual membership fee of $20. Would you like me to proceed with the quote through the HEA membership promotion?
If the customer answers YES:
Change the KEY CODE to: 773HEA. This will automatically populate the account number as 14216.
This will apply the HEAs Affinity Group Educator Discount.
A Monthly report will be generated and sent to HEA to enroll the teacher.
If the customer answers NO, proceed with asking the remaining Group Membership questions. Click HERE to jump to Association.",The HEA membership enrollment promotion is an offer for a 5% discount on auto and home insurance policies for new customers who enroll in the Hawaii Employers Association (HEA).,Information not found in article,Fail,Farmers HI,"The HEA Membership Enrollment Promotion provides a discount to active and retired Hawaii teachers and educators who agree to become an HEA member [1]. Farmers Hawaii will enroll you as a new member of HEA and cover the first-year membership fee [1]. After the first year, HEA will contact you for the annual membership fee of $20 [1]."
How do I process a trampline in A360?,"Processing in Agent360 via PolicyCenter:
1. Pull up the policy via PolicyCenter
2. Ask the Customer / Agent the questions above regarding the trampoline and how it is used.
3. Click on the Action dropdown to start a new change.
4. Enter the effective date, what you are processing and who is initiating the change.
5. Via Chat Assist, reach out to Underwriting to have them select Yes for the Trampoline, since Service Ops doesn't have the access.
Once the information has been updated, there could be additional questions from Underwriting asked about the trampoline.
6. Quote the change and Issue.
7. If an Umbrella exists, make sure to add the trampoline to that policy as well.
8. Document - Agent360 - Documentation (/articles/Knowledge/Agent360-Documentation)"," For Service: Access Company Use page in ARS under Residence Questions section, choose yes radio button for the Trampoline question.
For Sales: Under Property Information select the Yes radio button for the Trampoline question.
Submit endorsement. ","Asked for A360 process but received ARS process. Article has the word Agent360, question has A360",Fail,FWS,"To process a trampoline in A360, you can select the ""Yes"" radio button for the trampoline question [1]."
What are the Supporting Documentations to update VIN,"With supporting documentation an agent can update the VIN.  Documentation can include: 
Title
Vehicle registration
Vehicle window sticker or drivers side door sticker"," Acceptable Proof of Ownership documents are as follows: 
* Proof of Purchase
* Bill of Sale
* Vehicle Registration 
*Signed Title",Has information but for the duplicate VIN issue,Partial Pass,Farmers,"The supporting documentations to update VIN include: title, vehicle registration, vehicle window sticker or drivers side door sticker [1]. If going back farther than 5 days, documentation showing the correct VIN will be required [1]. You can also provide proof of ownership such as a proof of purchase, bill of sale, vehicle registration, signed title, or a HLDI report [4, 5]."
What is the fax number for loss run request from third party ?,Advise caller to fax  the request to 855-866-6877.,Fax number is not provided in the context.,Question is framed from content. Article has multiple topic where Fax# is present in the list under one of the sections,Fail,Commercial,"The fax number for loss run requests from third parties is 855-866-6877 [2, 3]. Requests should be submitted to business.agentservice@farmersinsurance.com or via fax to 855-866-6877 [3]. In order to protect the privacy of the insured, loss runs or loss experience information may not be sent to any 3rd party requestor [3]."
Is proof of residency acceptable if it is in Spanish?,No," Yes, a document in Spanish is acceptable as proof of residency as long as it has the policyholder's name and address on it. ",First article says it is not acceptable,Fail,Farmers Specialty Auto,"Proof of residency documents must be in English [1]. If not available in English, it may be accompanied by a certified translation [1]. Proof of residency is only required for the named insured or the spouse of the named insured [2]. Bank statements are not an acceptable form of proof of residency [3]. Acceptable forms of proof of residency include: * A current driver's license or state ID card * A current utility bill * A current lease agreement * A current mortgage statement * A current property tax statement * A current homeowner's or renter's insurance policy * A current statement from a credit union or bank * A current statement from a telecommunications company [2, 5]."
Can I use lease Agreement as proof of residency ?,NO," Yes, a lease agreement can be used as proof of residency. ",Chose answer from BW brand. 2nd candid article has right answer,Fail,Farmers HI,"Yes, you can use a lease agreement as proof of residency [1]."
What Does Error Code H F08 mean?,Error opening wind/hail/hurricane table.," Error code H F08 means Financial responsibility missing or invalid date, state, percentage, action 
code.When adding or deleting financial responsibility, all data must be completed",Missing Content in Load,Missing Content in Load,FWS,"H F08 is an error code that means ""Error opening wind/hail/hurricane table"" [1]."
What Does Error Code HF08 mean?,Error opening wind/hail/hurricane table.," Error code HF08 relates to Homeowners insurance. It means ""HO8-owners condo unit-no interior coverage"". 
",Missing Content in Load,Missing Content in Load,FWS,I don't have enough information to answer the query.
What are the retention team hours of operation?,"Monday - Friday, 8:00 a.m. ET - 7:00 p.m. ET"," Monday - Friday, 8:00 a.m. ET - 7:00 p.m. ET ",,Pass,FWS,"The retention team is open Monday - Friday, 8:00 am - 7:00 pm ET [1]."
When does original due date applied for current month?,"If a statement has already generated when the due date is changed, the original due date will still apply for the current month.",The original due date applied for the current month is when the policy is first created and the payment schedule is set up.,Answer not in the article,Fail,Farmers,"If a statement has already generated when the due date is changed, the original due date will still apply for the current month [1]. The new due date will apply on the next statement generated [1]."
Can customer still receive paper bill when on EFT?,"Yes, unless the customer is set up on paperless billing through MyForemostAccount.com"," Yes, the customer can still receive a paper bill when on EFT. ",,Pass,Specialty,"Yes, the customer will still receive a paper bill when set up on EFT [1, 2]. However, the customer can choose to receive paperless billing through MyForemostAccount.com [1]."
Can a roof have worn shingles?,"Dwelling may be eligible depending on the extent of the granular loss on the roof. 

Acceptable Characteristics:
Filament showing on a few shingles. 
Small section of filament showing on all shingles with ACV or Scheduled roof coverage. 
Unacceptable Characteristics:
Small section of filament showing on most shingles without ACV or Scheduled roof coverage. 
Large section of filament showing on most shingles. "," Yes, a roof can have worn shingles. Worn shingles are unacceptable characteristics. If the roof has unacceptable characteristics, a full roof replacement is required. ",Conflicting answers,Fail,Farmers,"Yes, a roof can have worn shingles [1, 2]. Dwellings with damaged shingles may be eligible for coverage depending on the severity of the damage [4]."
Does SR 22 requireme document tracking for trexo?,Yes,SR22 requires document tracking for Trexo,,Pass,FWS,"Yes, SR 22 requirements do require document tracking for trexo [4, 5]."
How to avoid a service charge?,"Two ways to reduce/avoid a service charge:
The customer may pay the amount due before the billing statement is mailed.
The estimated amount due for future installments can be found on a customers billing statement, the Installment Schedule page on a customers Farmers.com account, and the Policy/Installment Detail page in BillingHub.
Please note: Billing statements that are processed for $11.00 or less do not incur a service charge.
The customer may enroll in Electronic Funds Transfer (EFT) to reduce the service charge, or both EFT and paperless billing to eliminate the service charge.  
Note: EFT means recurring payments made via a direct debit from their checking or savings account using the customers bank routing number and applicable account number.
The customer needs to be fully enrolled in paperless billing, including accepting the Terms and Conditions, before the service charge will be removed.
If a billing statement generates prior to the Terms and Conditions being accepted, a service charge will be applied.
CA  For accounts enrolled in EFT, the service charge is $0.00 and does not require paperless billing.",The best way to avoid a service charge is to pay your bill in full and on time. You can also avoid a service charge by enrolling in paperless billing and automatic payments.,Incomplete inforamtion,Fail,Farmers,"To avoid a service charge, the customer may enroll in Electronic Funds Transfer (EFT) to reduce the service charge, or both EFT and paperless billing to eliminate the service charge [1]."
How do I get an interpreter?,"Use the Conference function and dial 800-946-7990  or use the phone book and type: Language Interpreter and press conference again to bring the caller on the line as a 3 way call.  Do not transfer the caller.
For Outbound Calls:  The translation service should be called first then the customer
Press 1 for Spanish, and 2 for all other languages
Enter your 4-digit Pin.
PHS  PIN 1519
ARC  PIN 1521
Retention  PIN 1520
FWS Sales - PIN 1522
Vendor  Use PHS or ARC PIN above depending on the call type
If you selected 1 for Spanish, you will be connected to a Spanish translator. Provide them with your name, and the customers name.
If you press 2 for all other languages:
Press 2 for Vietnamese
Press 3 for Mandarin
Press 4 for Korean
Press 5 for Arabic
Press 6 for Haitian Creole
Press 7 for Cantonese
Press 8 for Russian
Press 9 for Portuguese
Press 0 # for an operator for all other languages
The operator will connect you to a translator for the language requested. Provide them your name and the customers name and then read disclaimer.
Disclaimer:
Please be advised that the interpretation service is available to you as an added benefit.  Farmers provides its official documents, including applications, policies, contracts, forms and disclosures to you in English.  The English language version of the documents is the official version of the documents and will determine the rights and obligations of all parties. Do you understand and agree to this statement?"," The operator will connect you to a translator for the language requested. Provide them your name and the
customers name and then read disclaimer.",Incomplete inforamtion,Fail,FWS,"To get an interpreter, you can call 800-946-7990 or use the phone book and type ""Language Interpreter"" [1]. You can also use the conference function to bring the caller on the line as a 3 way call [1]. Don't transfer the caller [1]. It's important to advise any new party to the phone call that the call is being recorded [3]."
When can we use exception documents for NY Underwriting CARCO Inspection?,"New and Unused Vehicle Purchase
Vehicle must be:
Unused
Never titled
Have an odometer reading less than 1,000 miles and
Purchased from a franchised automobile dealership
Leased Vehicle
The vehicle has been leased from a dealer within the last six months
A lease or rental agreement containing a description of the leased automobile, including its condition, must be provided."," From the given context, it is not possible to determine when we can use exception documents for NY Underwriting CARCO Inspection. 
",,Fail,Farmers Specialty Auto,"If you believe an extraordinary life circumstance has negatively impacted your credit information, you may request, in writing, that we provide reasonable exceptions to our underwriting and/or rating practices [2, 3]."
"What is the HRS code for the ""No Reconstruction Permit/Sticker"" ?",HRS 286-85," The HRS code for the ""No Reconstruction Permit/Sticker"" is 431:10C-104. ",Wrong info,Fail,Farmers HI,The HRS code for the No Reconstruction Permit/Sticker is 431:10C-104 [1].
Where are the Verbal cancellation scripts?,"Chat cancellation scripts appear as Quick Text in the SRM Chat platform, and are listed below:
Property: 

Please confirm that this chat conversation serves as your written request to cancel [POLICY NUMBER] at [COMPLETE RESIDENCE ADDRESS] with us effective [DATE: MM/DD/YYYY]. By confirming, you are mutually agreeing with us to conduct this particular transaction electronically.
***If you agree please respond yes***
 
Casualty:

Please confirm that this chat conversation serves as your written request to cancel [POLICY NUMBER] on the [Vehicle Name(s)] with us effective [DATE: MM/DD/YYYY]. By confirming, you are mutually agreeing with us to conduct this particular transaction electronically. 
***If you agree please respond yes***"," The Verbal Cancellation Scripts are located under the title ""Cancellation Scripts"". ",Pointed to the article instead of showing actual script,Partial Pass,Specialty,"For verbal cancellation scripts, you can find them at [1]. The script includes the following: 
1. Confirm that the chat conversation serves as the written request to cancel the policy 
2. Note any additional pertinent information as needed 
3. Add diary action &quot;IBF&quot; with &quot;VR&quot; as the result code [1]. 
For verbal cancellations, you can also find more information at [2]. For example, in Louisiana, verbal cancellations are no longer acceptable [2]."
Can I transfer a CA policy to the retention team?,Any varation of no or not eligible for the state of CA," Single car policies when a car is being sold and there is no current
need for insurance.
Cancel the policy. Refer to article: ARS Policy Cancellation Guidelines",Did not answer the question,Fail,FWS,"If you have a policy with Farmers, you can transfer it to the retention team by calling 855-666-5805 [1]. You can also transfer your policy to the agent360 team by calling 800-422-4272 [2]. If you want to transfer your policy to an agent, you will need to cancel your current policy and ask the agent to rewrite a new one [3]."
Can we change pay plan for second time?,"Yes.If the term is future effective, a copy quote/rekey can be submitted to change the pay plan for a second time."," Yes, a second change to the pay plan can be made if the term is future effective by submitting a copy quote/rekey request. ",,Pass,Farmers Specialty Auto,"Yes, you can change the pay plan for a second time if the term is future effective [1]. You will need to submit a copy quote or rekey [1]. You will also need to make a payment for the quoted down payment and call Service Operations after the payment is applied [3]. You can also change the coverage and the pay plan at the same time [4]. However, coverage for a specific loss is subject to claims investigation [4]."
What is the Fax number for claims department?,855-822-3139,The fax number for the claims department is 800-421-3535.,Wrong Information. Appeared to be coming from public source,Fail,Farmers Specialty Auto,The fax number for the claims department is 855-822-3139 [1].
When does SR22 expire ?,SR22s automatically expires after 3 years from the filing date. Refer to SR26 for specifics.," SR22 does not expire, however the underlying policy might. In such cases a new SR22 needs to be filed. ",Article clearly says SR22 expires after 3 years,Fail,Farmers HI,SR22s automatically expire after 3 years from the filing date [1].
How do I fix the error when I have two married people of the same gender on a quote?,"BW Producers is not allowing the same gender to be listed as married on a quote
List the married couple as Male/Female on quote
Once policy is active, the gender can be corrected"," List the married couple as Male/Female on the quote. Once the policy is active, the gender can be corrected. ",,Pass,Farmers Specialty Auto,"If you have two married people of the same gender on a quote, you can list them as Male/Female on the quote [1]. Once the policy is active, you can correct the gender [1]."
Is Agent 0470914 restricted from writing Higher Limits?,Yes," Yes, agent 0470914 is restricted from writing higher limits as per the California High Limit Restricted Agents Table.
",,Pass,Bristol West,There is not enough information to answer the query.
Why is endorsment stil pending?,"If the endorsement is still pending the next day, there may be an error."," The endorsement is still pending because there is an error in the policy comments. 
Check Policy Comments for any error.Check the policy through Error
Correction (AS400) for any errors.",,Pass,Farmers Specialty Auto,"Endorsements take an overnight cycle to process [2]. If the endorsement is still pending the next day, there may be an error [2]. The endorsement will show pending until the effective date of the change [1]."
Can I reinstate a Policy written in Mexico,There should be no answer to this.  We do not write policies in Mexico so no article would have this information and would be looking for an answer similar to unable to find an answer or something.," 
I cannot determine the answer to that due to lack of context.
",,Pass,FWS,"Yes, you can reinstate a policy written in Mexico [2, 4]. If a payment is received within 7 calendar days of the cancellation date, the policy will automatically be reinstated [1]. After 7 days, a rewrite (reinstatement with a lapse) will need to be processed [1]."
