question,expected_ans,predicted_ans,article_id,matched_articles,pass_fail,reason,brand,ans_exp_5,cited_new,matched_article_new
What should qualified cancellation email contain ?,"A qualified email must include the following (clearly provided somewhere in the email):
Insureds name
Policy number
Cancellation date
Signature (Typed name)"," A qualified cancellation email should contain the following information: 

- Insured's name 

- Policy number 

- Cancellation date 

- Signature (Typed name) 

The email must come from the insured's email address on file. 

",kaD4T0000009A9gUAE,kaD4T0000009A9gUAE,Pass,nan; nan,Farmers,foobar,"[('kaD4T0000009A9gUAE', 4.0), ('kaD4T000000GpWKUA0', 0.5)]","[('kaD4T0000009A9gUAE', 5.0), ('kaD4T000000GpWKUA0', 1.8333333333333333), ('kaD4T0000004dZcUAI', 1.2), ('kaD4T0000009bvTUAQ', 0.75), ('kaD4T0000004SXBUA2', 0.7)]"
Can system identify security code using VIN ?,Any variation of Yes," Yes, for model year vehicles greater than or equal to 2006, the system will identify Security Codes from the Vehicle Identification Number (VIN) and automatically indicate the anti-theft discount. ",kaD4T000000H653UAC,kaD4T000000H653UAC,Pass,nan; nan,Farmers HI,foobar,"[('kaD4T000000H653UAC', 5.0)]","[('kaD4T000000H653UAC', 5.0), ('kaD4T000000PGAlUAO', 0.7), ('kaD4T000000Cny9UAC', 0.5833333333333333), ('kaD4T000000XiuDUAS', 0.5), ('kaD4T000000H4lrUAC', 0.5)]"
How do I  process a rush request for a letter of experience loss history letter?,"Rush Requests: 
1.	Retrieve claims information.
	See How to Look Up Foremost Claims
	Only retrieve claims information back 5 years for property and 3 years for casualty as that is what is utilized in loss history letters
2.	Create loss history letter.
a.	From the 360 View within the SR, click Links.
b.	Under Links click ABL Application.
c.	Choose the appropriate group: 
	For agent policies: Select FL Letter.   
	For direct customers: Select Direct Support.
d.	Click Request View and a dropdown will appear.
e.	In the dropdown choose the appropriate form:
	For agent policies: Choose FL 140A for Loss History with Claims or FL 141A for Loss History without Claims.
	For direct customers (USAA and non-AARP): Choose FISC 3 for Loss History with Claims or FISC 2 for Loss History without Claims.
	For AARP direct customers: Choose one of the forms from AARP 3 through 8.
f.	Fill out all the boxes manually. 
	NOTE: Even for redbox letters, the entire letter must be filled out as the data scraping function only happens for ABLs being sent out by mail using the Submit button
i.	Enter agent name or insured name:  The recipient. 
ii.	Enter mailing address. (Optional if the letter is being faxed or emailed.)
iii.	Enter the insured's name (or declaration name).  Check the declaration page then add the location address as:  'ADDR(-) street address, city only.  ***Note: Do not key in the state & zip.
o	Example: John Smith ADDR-123 got it, Farmers World
o	Note: For Motorcycle & Boat policies, only put the policy number, do not key in a location or the bike/boat information.
iv.	Enter Policy Number.
v.	Enter Company Name. How to Find the Company Name for a Policy
vi.	Enter a Product type.  ***This field is not available on FL 140 or FL140A for Loss History with Claims.
o	Specialty Dwelling
o	Mobile Home
o	Off Road Vehicle
o	Motorcycle
o	Motorhome
o	Travel Trailer
o	Marine
o	Personal Watercraft
vii.	Enter the original inception date of the policy 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
viii.	Enter the Policy Expiration or Cancellation date 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
ix.	Enter the time frame in years (one, two, three, four or five).
o	For Property, go back a maximum of five years
o	For Casualty, go back a maximum of three years
o	Round up to whole years.  If the policy has been active six months, use one year.  If one year two months, use two years, etc.
o	Type out the words.  ***Do not use numerals
	Example: one, two, three, four or five. 
x.	Enter claim date (xx/xx/xxxx)
xi.	Enter Loss Type/Amount paid (Enter $0 if zero paid)  Ex: Wind / $123
o	Note:  If a claim has been withdrawn or denied, it would not be a valid claim.  Do not list it on the loss history / letter of experience.
xii.	Enter claims status (Closed, Open etc.)
b.	Click Preview to generate the copy of the letter that can be sent.  It can be sent by fax or saved as a PDF and sent by email in SRM.
i.	Send a copy of the letter to imaging at fax number 616-956-4412 or email to: usw.fic.imagingabp@foremost.com  - (Include the SR# in the subject line, and in the body of the email include the policy number and customer's name).
c.	Note the SR with which letter type was sent and where it was sent."," Rush requests can be processed by transferring the agent to Specialty Service Operations. 
",kaD4T000000PP0WUAW,"kaD4T000000PP0WUAW
kaD4T0000004dp3UAA",Fail,Wrong Article for Summarization; Found right article in the search result but used wrong one to summarize.,Specialty,foobar,"[('kaD4T000000PP0WUAW', 5.0), ('kaD4T0000004dp3UAA', 0.7)]","[('kaD4T000000PP0WUAW', 5.0), ('kaD4T000000XlSvUAK', 1.8333333333333333), ('kaD4T0000004aBUUAY', 1.6666666666666665), ('kaD4T0000004dp3UAA', 1.0333333333333332), ('kaD4T0000008yjEUAQ', 0.8999999999999999)]"
Can NJ cancelled auto policies be reinstated ?,Any variation of No for state of NJ," No, NJ auto policies cancelled for non-payment cannot be reinstated. 

",kaD4T0000000IjsUAE,kaD4T000000Xa6BUAS,Pass,nan; nan,Farmers,foobar,"[('kaD4T000000Xa6BUAS', 2.7), ('kaD4T000000XmdlUAC', 2.0)]","[('kaD4T0000000IjsUAE', 3.0), ('kaD4T000000Xa6BUAS', 2.9000000000000004), ('kaD4T000000XmdlUAC', 2.7333333333333334), ('kaD4T000000XhWOUA0', 1.4999999999999998), ('kaD4T000000XiUAUA0', 0.5833333333333333)]"
When to decline the request to update mileage ?,"If the required proof has not been received to make a mileage change after the renewal effective date, decline the request and refer it back to the agent/broker for additional information."," If the required proof has not been received to make a mileage change
after the renewal effective date, decline the request and refer it back to the agent/broker for additional
information. ",kaD4T000000POHbUAO,"kaD4T000000POHbUAO
kaD4T000000Cnz6UAC",Fail,"Wrong Summarization within Article; Mixed ""what is required"" and ""when to decline"" content",Bristol West,foobar,"[('kaD4T000000POHbUAO', 2.0), ('kaD4T000000Cnz6UAC', 0.25)]","[('kaD4T000000POHbUAO', 2.0), ('kaD4T000000Co3gUAC', 1.0), ('kaD4T000000Cnz6UAC', 0.5833333333333333), ('kaD4T000000GrdNUAS', 0.5333333333333333), ('kaD4T000000Co3iUAC', 0.45)]"
What do I do when receiving no conect error message when ordering an MVR on a NB policy?,"Verify all information is correct. 
If information is correct attempt to re-order reports at later time."," Verify all information is correct. If information is correct attempt to re-order reports at later time.
This is a vendor issue and the cause is unknown.",kaD4T000000Co4fUAC,"kaD4T000000Co4fUAC
kaD4T000000CnssUAC
kaD4T000000Co1XUAS",Partial Pass,Appears to be combining data from multiple articles.; First 2 points are correct. Rest of the info not in the article ,Bristol West,foobar,"[('kaD4T000000CnssUAC', 1.3333333333333333), ('kaD4T000000Co4fUAC', 1.0), ('kaD4T0000008Vi2UAE', 0.5)]","[('kaD4T000000CnssUAC', 3.333333333333333), ('kaD4T000000Co4fUAC', 1.3333333333333333), ('kaD4T000000Cb07UAC', 1.0), ('kaD4T000000CnzBUAS', 1.0), ('kaD4T000000Co0eUAC', 1.0)]"
why can't I have two married men on a quote?,"BW Producers is not allowing the same gender to be listed as married on a quote
List the married couple as Male/Female on quote
Once policy is active, the gender can be corrected"," The system does not allow for two married men to be listed on a single quote. 
You can list the couple as Male/Female on the quote and then correct the gender once the policy is active. ",kaD4T0000008UHwUAM,kaD4T0000008UHwUAM,Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000008UHwUAM', 3.5)]","[('kaD4T0000008UHwUAM', 3.5), ('kaD4T0000008UMCUA2', 1.25), ('kaD4T0000004EKPUA2', 1.2), ('kaD4T0000008W54UAE', 0.5333333333333333), ('kaD4T0000008WYtUAM', 0.5)]"
What is the HEA membership enrolment promotion?,"If the customer is a teacher but not a member of HEA (or UHPA, Maui Teachers FCU or Kauai Teachers FCU):
SAY: Thank you for being a teacher! We have a special membership promotion with HEA  Hawaii Education Association. I can give you a quote through this promotion which provides a teachers discount. If you choose to purchase the policy, Farmers Hawaii will enroll you in as a new member of HEA and cover the first-year membership fee. After the first year, HEA will contact you for the annual membership fee of $20. Would you like me to proceed with the quote through the HEA membership promotion?
If the customer answers YES:
Change the KEY CODE to: 773HEA. This will automatically populate the account number as 14216.
This will apply the HEAs Affinity Group Educator Discount.
A Monthly report will be generated and sent to HEA to enroll the teacher.
If the customer answers NO, proceed with asking the remaining Group Membership questions. Click HERE to jump to Association.",The HEA membership enrollment promotion is an offer for a 5% discount on auto and home insurance policies for new customers who enroll in the Hawaii Employers Association (HEA).,kaD4T000000H6tcUAC,kaD4T000000H6tcUAC,Pass,nan; nan,Farmers HI,foobar,"[('kaD4T000000H6tcUAC', 5.0), ('kaD4T000000PL1AUAW', 0.3333333333333333)]","[('kaD4T000000H6tcUAC', 5.0), ('kaD4T000000TOE5UAO', 2.5), ('kaD4T000000PL1AUAW', 1.6666666666666665), ('kaD4T000000bp1zUAA', 0.8999999999999999), ('kaD4T000000PL0HUAW', 0.5)]"
How do I process a trampline in A360?,"Processing in Agent360 via PolicyCenter:
1. Pull up the policy via PolicyCenter
2. Ask the Customer / Agent the questions above regarding the trampoline and how it is used.
3. Click on the Action dropdown to start a new change.
4. Enter the effective date, what you are processing and who is initiating the change.
5. Via Chat Assist, reach out to Underwriting to have them select Yes for the Trampoline, since Service Ops doesn't have the access.
Once the information has been updated, there could be additional questions from Underwriting asked about the trampoline.
6. Quote the change and Issue.
7. If an Umbrella exists, make sure to add the trampoline to that policy as well.
8. Document - Agent360 - Documentation (/articles/Knowledge/Agent360-Documentation)"," For Service: Access Company Use page in ARS under Residence Questions section, choose yes radio button for the Trampoline question.
For Sales: Under Property Information select the Yes radio button for the Trampoline question.
Submit endorsement. ",kaD4T000000PN9uUAG,kaD4T000000PN9uUAG,Fail,Wrong summarization within article; Used ARS section to answer,FWS,foobar,"[('kaD4T000000PN9uUAG', 3.0)]","[('kaD4T000000PN9uUAG', 5.0), ('kaD4T000000XmzbUAC', 2.1666666666666665), ('kaD4T00000004kwUAA', 1.25), ('kaD4T000000H7wMUAS', 1.2), ('kaD4T000000L47CUAS', 0.65)]"
What are the Supporting Documentations to update VIN,"With supporting documentation an agent can update the VIN.  Documentation can include: 
Title
Vehicle registration
Vehicle window sticker or drivers side door sticker"," Acceptable Proof of Ownership documents are as follows: 
* Proof of Purchase
* Bill of Sale
* Vehicle Registration 
*Signed Title",kaD4T000000bot7UAA,kaD4T000000bot7UAA,Pass,nan; nan,Farmers,foobar,"[('kaD4T000000bot7UAA', 2.333333333333333), ('kaD4T000000PKlgUAG', 1.0), ('kaD4T000000XhCZUA0', 0.25)]","[('kaD4T000000CcGBUA0', 2.75), ('kaD4T000000PKlgUAG', 2.3333333333333335), ('kaD4T000000bot7UAA', 2.333333333333333), ('kaD4T000000XhCZUA0', 0.7), ('kaD4T000000XmKyUAK', 0.7)]"
What is the fax number for loss run request from third party ?,Advise caller to fax  the request to 855-866-6877.,Fax number is not provided in the context.,kaD4T000000HJHVUA4,kaD4T0000000IdaUAE,Pass,nan; nan,Commercial,foobar,"[('kaD4T0000000IdaUAE', 0.3333333333333333)]","[('kaD4T000000HIbFUAW', 2.0), ('kaD4T000000HJHVUA4', 1.0), ('kaD4T0000000IdaUAE', 0.6666666666666666), ('kaD4T000000XnRLUA0', 0.45), ('kaD4T000000PM5cUAG', 0.45)]"
Is proof of residency acceptable if it is in Spanish?,No," Yes, a document in Spanish is acceptable as proof of residency as long as it has the policyholder's name and address on it. ",kaD4T000000XeNmUAK,"kaD4T000000XeNmUAK
kaD4T00000093zJUAQ
kaD4T0000008VjtUAE",Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T000000XeNmUAK', 5.0), ('kaD4T00000093zJUAQ', 1.6666666666666665), ('kaD4T0000008VjtUAE', 0.7333333333333334), ('kaD4T000000TNIvUAO', 0.5)]","[('kaD4T000000XeNmUAK', 5.0), ('kaD4T00000093zJUAQ', 2.1666666666666665), ('kaD4T000000TNIvUAO', 1.8666666666666665), ('kaD4T0000008VjtUAE', 1.1333333333333333), ('kaD4T0000008UANUA2', 0.75)]"
Can I use lease Agreement as proof of residency ?,NO," Yes, a lease agreement can be used as proof of residency. ",kaD4T000000PGbSUAW,kaD4T000000CnuLUAS,Fail,Unable to find Target Article; Used BW article for Farmers HI question,Farmers HI,foobar,"[('kaD4T000000CnuLUAS', 3.0)]","[('kaD4T000000CnuLUAS', 5.0), ('kaD4T0000004eFMUAY', 2.25), ('kaD4T000000CnwpUAC', 1.4), ('kaD4T000000PGbSUAW', 1.3333333333333333), ('kaD4T000000HFbhUAG', 1.1)]"
What Does Error Code H F08 mean?,Error opening wind/hail/hurricane table.," Error code H F08 means Financial responsibility missing or invalid date, state, percentage, action 
code.When adding or deleting financial responsibility, all data must be completed",kaD4T0000009KO0UAM,kaD4T0000009KO0UAM,Pass,nan; nan,FWS,foobar,"[('kaD4T0000009KO0UAM', 3.0)]","[('kaD4T0000009KO0UAM', 5.0), ('kaD4T000000XaJpUAK', 2.1666666666666665), ('kaD4T00000096lYUAQ', 1.2), ('kaD4T000000PMHiUAO', 1.0), ('kaD4T000000Ch7cUAC', 0.5)]"
What Does Error Code HF08 mean?,Error opening wind/hail/hurricane table.," Error code HF08 relates to Homeowners insurance. It means ""HO8-owners condo unit-no interior coverage"". 
",kaD4T0000009KO0UAM,,Fail,Unable to find Target Article; nan,FWS,foobar,[],"[('kaD4T000000XaJpUAK', 2.0), ('kaD4T00000096lYUAQ', 1.7499999999999998), ('kaD4T000000PMHiUAO', 1.7), ('kaD4T000000Gxx9UAC', 1.5333333333333332), ('kaD4T000000PM0mUAG', 1.2333333333333334)]"
What are the retention team hours of operation?,"Monday - Friday, 8:00 a.m. ET - 7:00 p.m. ET"," Monday - Friday, 8:00 a.m. ET - 7:00 p.m. ET ",kaD4T000000bvqLUAQ,kaD4T000000bvqLUAQ,Pass,nan; nan,FWS,foobar,"[('kaD4T000000bvqLUAQ', 4.25), ('kaD4T000000XmBgUAK', 0.25)]","[('kaD4T000000bvqLUAQ', 4.25), ('kaD4T000000PMTyUAO', 2.833333333333333), ('kaD4T000000Xk1VUAS', 0.8333333333333333), ('kaD4T000000HGLYUA4', 0.5333333333333333), ('kaD4T000000Xn76UAC', 0.5)]"
When does original due date applied for current month?,"If a statement has already generated when the due date is changed, the original due date will still apply for the current month.",The original due date applied for the current month is when the policy is first created and the payment schedule is set up.,kaD1L0000004Cn3UAE,kaD1L0000004Cn3UAE,Pass,nan; nan,Farmers,foobar,"[('kaD1L0000004Cn3UAE', 4.0), ('kaD4T00000006lnUAA', 0.3333333333333333), ('kaD4T0000004e3FUAQ', 0.2)]","[('kaD1L0000004Cn3UAE', 4.0), ('kaD4T000000PB07UAG', 2.0), ('kaD4T00000006lnUAA', 1.3333333333333333), ('kaD4T000000PFfnUAG', 0.7), ('kaD4T000000GqX4UAK', 0.25)]"
Can customer still receive paper bill when on EFT?,"Yes, unless the customer is set up on paperless billing through MyForemostAccount.com"," Yes, the customer can still receive a paper bill when on EFT. ",kaD4T000000Xl0DUAS,kaD4T000000Xl0DUAS,Pass,nan; nan,Specialty,foobar,"[('kaD4T000000Xl0DUAS', 2.833333333333333), ('kaD4T000000XnY5UAK', 0.75), ('kaD4T000000Xn9RUAS', 0.25)]","[('kaD4T000000Xl0DUAS', 3.333333333333333), ('kaD4T000000XnY5UAK', 3.083333333333333), ('kaD4T000000XnJRUA0', 1.6666666666666665), ('kaD4T000000Xkc5UAC', 1.45), ('kaD1L000000L4vQUAS', 0.45)]"
Can a roof have worn shingles?,"Dwelling may be eligible depending on the extent of the granular loss on the roof. 

Acceptable Characteristics:
Filament showing on a few shingles. 
Small section of filament showing on all shingles with ACV or Scheduled roof coverage. 
Unacceptable Characteristics:
Small section of filament showing on most shingles without ACV or Scheduled roof coverage. 
Large section of filament showing on most shingles. "," Yes, a roof can have worn shingles. Worn shingles are unacceptable characteristics. If the roof has unacceptable characteristics, a full roof replacement is required. ",kaD4T0000004dX5UAI,kaD4T0000004eHCUAY,Pass,Duplicate  Information; Repeasted the same info twice,Farmers,foobar,"[('kaD4T000000XmWAUA0', 1.5), ('kaD4T0000004dyjUAA', 1.0), ('kaD4T000000XlJ5UAK', 1.0), ('kaD4T0000004eHCUAY', 0.75), ('kaD4T000000Xkb7UAC', 0.3333333333333333)]","[('kaD4T000000XlJ5UAK', 2.783333333333333), ('kaD4T000000XmWAUA0', 2.583333333333333), ('kaD4T0000004dX5UAI', 1.3333333333333333), ('kaD4T0000004dyjUAA', 1.0), ('kaD4T0000004eHCUAY', 0.75)]"
Does SR 22 requireme document tracking for trexo?,Yes,SR22 requires document tracking for Trexo,kaD4T000000PLpoUAG,,Pass,nan; nan,FWS,foobar,"[('kaD4T000000HKQ9UAO', 0.3333333333333333)]","[('kaD4T000000XiWfUAK', 2.0), ('kaD4T0000004eTSUAY', 1.0), ('kaD4T000000Xa0nUAC', 0.5833333333333333), ('kaD4T000000HKQ9UAO', 0.5833333333333333), ('kaD4T000000PLpoUAG', 0.2)]"
How to avoid a service charge?,"Two ways to reduce/avoid a service charge:
The customer may pay the amount due before the billing statement is mailed.
The estimated amount due for future installments can be found on a customers billing statement, the Installment Schedule page on a customers Farmers.com account, and the Policy/Installment Detail page in BillingHub.
Please note: Billing statements that are processed for $11.00 or less do not incur a service charge.
The customer may enroll in Electronic Funds Transfer (EFT) to reduce the service charge, or both EFT and paperless billing to eliminate the service charge.  
Note: EFT means recurring payments made via a direct debit from their checking or savings account using the customers bank routing number and applicable account number.
The customer needs to be fully enrolled in paperless billing, including accepting the Terms and Conditions, before the service charge will be removed.
If a billing statement generates prior to the Terms and Conditions being accepted, a service charge will be applied.
CA  For accounts enrolled in EFT, the service charge is $0.00 and does not require paperless billing.",The best way to avoid a service charge is to pay your bill in full and on time. You can also avoid a service charge by enrolling in paperless billing and automatic payments.,kaD4T0000004dWBUAY,kaD4T0000004dWBUAY,Partial Pass,Incomplete Answer; Main points are present. All sub points are missing.,Farmers,foobar,"[('kaD4T0000004dWBUAY', 4.0), ('kaD4T0000004Ti5UAE', 1.3333333333333333), ('kaD4T0000009HwVUAU', 0.2)]","[('kaD4T0000004dWBUAY', 4.0), ('kaD4T0000004Ti5UAE', 2.333333333333333), ('kaD4T000000PJAtUAO', 0.8333333333333333), ('kaD4T0000004STJUA2', 0.8333333333333333), ('kaD4T0000009eavUAA', 0.7833333333333333)]"
How do I get an interpreter?,"Use the Conference function and dial 800-946-7990  or use the phone book and type: Language Interpreter and press conference again to bring the caller on the line as a 3 way call.  Do not transfer the caller.
For Outbound Calls:  The translation service should be called first then the customer
Press 1 for Spanish, and 2 for all other languages
Enter your 4-digit Pin.
PHS  PIN 1519
ARC  PIN 1521
Retention  PIN 1520
FWS Sales - PIN 1522
Vendor  Use PHS or ARC PIN above depending on the call type
If you selected 1 for Spanish, you will be connected to a Spanish translator. Provide them with your name, and the customers name.
If you press 2 for all other languages:
Press 2 for Vietnamese
Press 3 for Mandarin
Press 4 for Korean
Press 5 for Arabic
Press 6 for Haitian Creole
Press 7 for Cantonese
Press 8 for Russian
Press 9 for Portuguese
Press 0 # for an operator for all other languages
The operator will connect you to a translator for the language requested. Provide them your name and the customers name and then read disclaimer.
Disclaimer:
Please be advised that the interpretation service is available to you as an added benefit.  Farmers provides its official documents, including applications, policies, contracts, forms and disclosures to you in English.  The English language version of the documents is the official version of the documents and will determine the rights and obligations of all parties. Do you understand and agree to this statement?"," The operator will connect you to a translator for the language requested. Provide them your name and the
customers name and then read disclaimer.",kaD4T000000PM5hUAG,"kaD4T000000PM5hUAG
kaD4T0000004fl4UAA",Partial Pass,Incomplete Answer; Skipped outbound call steps,FWS,foobar,"[('kaD4T000000PM5hUAG', 4.0), ('kaD4T0000008mJAUAY', 0.5), ('kaD4T0000004fl4UAA', 0.3333333333333333), ('kaD4T000000HFZHUA4', 0.2), ('kaD4T000000PMq1UAG', 0.2)]","[('kaD4T000000PM5hUAG', 5.0), ('kaD4T0000008mJAUAY', 2.5), ('kaD4T000000XkC1UAK', 1.1666666666666665), ('kaD4T0000004fl4UAA', 0.9166666666666666), ('kaD4T000000HFWwUAO', 0.3333333333333333)]"
When can we use exception documents for NY Underwriting CARCO Inspection?,"New and Unused Vehicle Purchase
Vehicle must be:
Unused
Never titled
Have an odometer reading less than 1,000 miles and
Purchased from a franchised automobile dealership
Leased Vehicle
The vehicle has been leased from a dealer within the last six months
A lease or rental agreement containing a description of the leased automobile, including its condition, must be provided."," From the given context, it is not possible to determine when we can use exception documents for NY Underwriting CARCO Inspection. 
",kaD4T000000XmJLUA0,,Fail,Unable to find target Article; Need ID to check where the ans is coming from ,Farmers Specialty Auto,foobar,"[('kaD4T000000PMqJUAW', 0.5)]","[('kaD4T000000PMqJUAW', 3.75), ('kaD4T000000bo0FUAQ', 2.5), ('kaD4T000000PMqsUAG', 1.4166666666666665), ('kaD4T000000TNIvUAO', 1.4), ('kaD4T000000PMhvUAG', 1.0333333333333332)]"
"What is the HRS code for the ""No Reconstruction Permit/Sticker"" ?",HRS 286-85," The HRS code for the ""No Reconstruction Permit/Sticker"" is 431:10C-104. ",kaD4T000000TRWIUA4,kaD4T000000TRWIUA4,Pass,nan; What is Answer 2??,Farmers HI,foobar,"[('kaD4T000000TRWIUA4', 4.0)]","[('kaD4T000000TRWIUA4', 5.0), ('kaD4T000000buiaUAA', 1.9999999999999998), ('kaD4T000000H6LGUA0', 1.5), ('kaD4T000000H6neUAC', 0.5333333333333333), ('kaD4T000000PLGZUA4', 0.45)]"
Where are the Verbal cancellation scripts?,"Chat cancellation scripts appear as Quick Text in the SRM Chat platform, and are listed below:
Property: 

Please confirm that this chat conversation serves as your written request to cancel [POLICY NUMBER] at [COMPLETE RESIDENCE ADDRESS] with us effective [DATE: MM/DD/YYYY]. By confirming, you are mutually agreeing with us to conduct this particular transaction electronically.
***If you agree please respond yes***
 
Casualty:

Please confirm that this chat conversation serves as your written request to cancel [POLICY NUMBER] on the [Vehicle Name(s)] with us effective [DATE: MM/DD/YYYY]. By confirming, you are mutually agreeing with us to conduct this particular transaction electronically. 
***If you agree please respond yes***"," The Verbal Cancellation Scripts are located under the title ""Cancellation Scripts"". ",kaD4T000000XmLCUA0,"kaD4T000000XmLCUA0
kaD4T000000XbiGUAS",Partial Pass,"Incomplete Answer; Found the right section but did not print the script as is. If sending the script, we do not it to be modified. It would be a pass if LLM sent only the location of the script, and not trimming the scipt.",Specialty,foobar,"[('kaD4T000000XmLCUA0', 3.0), ('kaD4T000000XbiGUAS', 0.5), ('kaD4T000000PJXEUA4', 0.3333333333333333), ('kaD4T00000008VJUAY', 0.3333333333333333)]","[('kaD4T000000XmLCUA0', 5.0), ('kaD4T000000XbiGUAS', 2.5), ('kaD4T000000PJXEUA4', 1.5), ('kaD4T000000XnYGUA0', 0.8500000000000001), ('kaD4T00000008VJUAY', 0.6666666666666666)]"
Can I transfer a CA policy to the retention team?,Any varation of no or not eligible for the state of CA," Single car policies when a car is being sold and there is no current
need for insurance.
Cancel the policy. Refer to article: ARS Policy Cancellation Guidelines",kaD4T000000bvqLUAQ,"kaD4T000000bvqLUAQ
kaD4T000000Xk2LUAS
kaD4T000000POqbUAG",Pass,Additional Information; Main info is at the bottom,FWS,foobar,"[('kaD4T000000bvqLUAQ', 2.3333333333333335), ('kaD4T000000Xk2LUAS', 0.95), ('kaD4T000000POqbUAG', 0.8333333333333333), ('kaD4T000000CfHrUAK', 0.25), ('kaD4T0000004ef6UAA', 0.2)]","[('kaD4T000000bvqLUAQ', 4.333333333333333), ('kaD4T000000XnbWUAS', 2.0), ('kaD4T000000POqbUAG', 1.9999999999999998), ('kaD4T000000Xk2LUAS', 0.95), ('kaD4T000000PMTyUAO', 0.5833333333333333)]"
Can we change pay plan for second time?,"Yes.If the term is future effective, a copy quote/rekey can be submitted to change the pay plan for a second time."," Yes, a second change to the pay plan can be made if the term is future effective by submitting a copy quote/rekey request. ",kaD4T000000TQH1UAO,"kaD4T000000TQH1UAO
kaD4T000000TQGrUAO
kaD4T0000008iCMUAY",Pass,Additionl Information; nan,Farmers Specialty Auto,foobar,"[('kaD4T000000TQH1UAO', 3.0), ('kaD4T0000008iCMUAY', 0.5), ('kaD4T000000TQGrUAO', 0.3333333333333333)]","[('kaD4T0000008iCaUAI', 4.5), ('kaD4T000000TQH1UAO', 3.0), ('kaD4T0000008iCMUAY', 1.4999999999999998), ('kaD4T0000008iBhUAI', 0.9333333333333333), ('kaD4T000000TN5CUAW', 0.5)]"
What is the Fax number for claims department?,855-822-3139,The fax number for the claims department is 800-421-3535.,kaD4T0000008VCRUA2,kaD4T0000008VCRUA2,Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000008VCRUA2', 3.0)]","[('kaD4T0000008VCRUA2', 3.0), ('kaD4T0000008VaTUAU', 1.1666666666666665), ('kaD4T000000XneeUAC', 0.8333333333333333), ('kaD4T000000HJCaUAO', 0.5), ('kaD4T0000008UxwUAE', 0.5)]"
When does SR22 expire ?,SR22s automatically expires after 3 years from the filing date. Refer to SR26 for specifics.," SR22 does not expire, however the underlying policy might. In such cases a new SR22 needs to be filed. ",kaD4T000000buiaUAA,kaD4T000000buiaUAA,Pass,nan; nan,Farmers HI,foobar,"[('kaD4T000000buiaUAA', 5.0)]","[('kaD4T000000buiaUAA', 5.0), ('kaD4T000000XeGlUAK', 1.65), ('kaD4T000000PKvlUAG', 1.2), ('kaD4T000000PKZQUA4', 1.1166666666666665), ('kaD4T000000PKrUUAW', 0.6666666666666666)]"
How do I fix the error when I have two married people of the same gender on a quote?,"BW Producers is not allowing the same gender to be listed as married on a quote
List the married couple as Male/Female on quote
Once policy is active, the gender can be corrected"," List the married couple as Male/Female on the quote. Once the policy is active, the gender can be corrected. ",kaD4T0000008UHwUAM,kaD4T0000008UHwUAM,Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000008UHwUAM', 2.0), ('kaD4T00000000MCUAY', 1.6666666666666665)]","[('kaD4T0000008UHwUAM', 4.5), ('kaD4T0000008WYAUA2', 2.2), ('kaD4T00000000MCUAY', 1.6666666666666665), ('kaD4T0000008VvhUAE', 0.8333333333333333), ('kaD4T000000XmuhUAC', 0.8333333333333333)]"
Is Agent 0470914 restricted from writing Higher Limits?,Yes," Yes, agent 0470914 is restricted from writing higher limits as per the California High Limit Restricted Agents Table.
",kaD4T000000POlbUAG,,Fail,Unable to find Target Article; nan,Bristol West,foobar,[],"[('kaD4T000000POlbUAG', 5.0), ('kaD4T000000Xh5rUAC', 2.5), ('kaD4T000000XiDUUA0', 1.1166666666666667), ('kaD4T000000PMrnUAG', 1.1166666666666667), ('kaD4T000000btpfUAA', 0.4)]"
Why is endorsment stil pending?,"If the endorsement is still pending the next day, there may be an error."," The endorsement is still pending because there is an error in the policy comments. 
Check Policy Comments for any error.Check the policy through Error
Correction (AS400) for any errors.",kaD4T0000008UPHUA2,"kaD4T0000008U23UAE
kaD4T0000008UPHUA2",Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000008UPHUA2', 1.8333333333333333), ('kaD4T0000008U23UAE', 1.0), ('kaD4T0000008V7wUAE', 0.5), ('kaD4T000000TPfXUAW', 0.5), ('kaD4T0000008Yq2UAE', 0.3333333333333333)]","[('kaD4T0000008U23UAE', 2.5), ('kaD4T0000008UPHUA2', 1.8333333333333333), ('kaD4T0000008j0WUAQ', 1.2), ('kaD4T000000TPfXUAW', 1.1666666666666665), ('kaD4T0000008lqvUAA', 1.0)]"
